year_month,median_rate
2018m1,4
2018m2,4.25
2018m3,4.5
2018m4,4.5
2018m5,4.625
2018m6,4.75
2018m7,4.75
2018m8,4.75
2018m9,4.75
2018m10,4.75
2018m11,4.875
2018m12,4.99
2019m1,4.75
2019m2,4.625
2019m3,4.5
2019m4,4.375
2019m5,4.25
2019m6,4.125
2019m7,3.99
2019m8,3.875
2019m9,3.75
2019m10,3.75
2019m11,3.75
2019m12,3.775
2020m1,3.75
2020m2,3.75
2020m3,3.5
2020m4,3.375
2020m5,3.374
2020m6,3.25
2020m7,3.125
2020m8,2.99
2020m9,2.875
2020m10,2.875
2020m11,2.875
2020m12,2.75
2021m1,2.75
2021m2,2.75
2021m3,2.875
2021m4,3.125
2021m5,3.125
2021m6,3
2021m7,3
2021m8,2.99
2021m9,2.989
2021m10,2.99
2021m11,3.125
2021m12,3.125
2022m1,3.25
2022m2,3.5
2022m3,3.875
2022m4,4.25
2022m5,4.99
2022m6,5.25
2022m7,5.5
2022m8,5.45
2022m9,5.375
2022m10,5.99
2022m11,6.625
2022m12,6.49
