year_month,hpshare_asian,hpshare_black,hpshare_hisp_white,hpshare_nonhisp_white
2018m1,.061390452,.071971714,.094723448,.61415094
2018m2,.058966309,.070655406,.091601439,.62015593
2018m3,.058287367,.065830603,.090083621,.62587428
2018m4,.058563638,.064236209,.089202017,.62655348
2018m5,.059173055,.063056797,.085143164,.62757349
2018m6,.059616879,.062743984,.083077915,.62927258
2018m7,.059549849,.065762676,.084535256,.62411827
2018m8,.060610753,.06626457,.085087076,.62361509
2018m9,.058759782,.070060141,.089364491,.61867297
2018m10,.058794711,.069738038,.092948742,.61423296
2018m11,.05911405,.07049527,.092255399,.60992277
2018m12,.061641879,.076362327,.096231014,.59278774
2019m1,.059769314,.076865092,.098093793,.5966019
2019m2,.054832935,.073046707,.094419956,.60713035
2019m3,.055053059,.071203426,.095154181,.60524684
2019m4,.056200054,.067914024,.096652791,.6037339
2019m5,.057282463,.065571614,.089463413,.61119878
2019m6,.056746233,.065223739,.086422861,.61311603
2019m7,.055859249,.067101985,.088329814,.60919529
2019m8,.056658454,.068221018,.088450827,.60753697
2019m9,.056099586,.069223322,.092362709,.60301948
2019m10,.057490677,.071220025,.094463103,.59740138
2019m11,.059188638,.07290639,.094082192,.59231991
2019m12,.05995534,.074830338,.096066475,.58458465
2020m1,.059356894,.076760821,.098123096,.58535552
2020m2,.058770936,.073636197,.095432788,.59195846
2020m3,.05600835,.06945233,.091076314,.60162741
2020m4,.04839633,.069129683,.086809427,.61464071
2020m5,.044332318,.073104993,.085299723,.61672378
2020m6,.04640558,.069587186,.086453035,.61349159
2020m7,.050829425,.068795696,.087495849,.6040982
2020m8,.055172987,.070689015,.087429471,.5943377
2020m9,.056715507,.073477454,.09052293,.58460975
2020m10,.060134124,.074659124,.092526264,.57779467
2020m11,.062249981,.077033542,.095683068,.56693757
2020m12,.062769167,.083013773,.099172115,.55574656
2021m1,.06465923,.083479889,.097871944,.55591637
2021m2,.066528536,.080519333,.095597461,.55990571
2021m3,.067699522,.076021805,.091869026,.56554145
2021m4,.068518996,.071685672,.090730608,.56992817
2021m5,.069880776,.071661621,.088279411,.56889373
2021m6,.070646875,.071980506,.085739918,.56883472
2021m7,.072059005,.076528184,.088523284,.55902547
2021m8,.074992217,.080878481,.091535993,.54948795
2021m9,.072746746,.083441399,.093842044,.54568195
2021m10,.073125616,.083680682,.094601825,.54538321
2021m11,.07547731,.084121272,.094078861,.54219341
2021m12,.074171349,.087362573,.09661705,.53555644
2022m1,.073337488,.086461678,.098278746,.53728974
2022m2,.075442739,.083687402,.095495231,.53904176
2022m3,.079524443,.078788944,.09293893,.54312342
2022m4,.077777579,.074176624,.088181004,.55287653
2022m5,.078794375,.072935626,.086232089,.55396134
2022m6,.076725319,.075220741,.085480183,.55532986
2022m7,.072732441,.08022406,.086953394,.55173373
2022m8,.074351199,.083344348,.088976331,.5438844
2022m9,.075238317,.083824567,.088570751,.54333884
2022m10,.074041143,.083099715,.092061222,.53965116
2022m11,.07671804,.086651042,.093480267,.52965587
2022m12,.079020649,.091966659,.098798521,.5151332
