year_month,refi_asian,refi_black,refi_hisp_white,refi_nonhisp_white
2018m1,6608,10199,11066,104704
2018m2,5898,9355,10201,95564
2018m3,5909,9235,10509,100535
2018m4,5353,8525,9980,90277
2018m5,5170,8426,9741,86112
2018m6,4565,7503,8682,77652
2018m7,4489,7639,8445,77554
2018m8,4841,8758,9343,86786
2018m9,4041,7216,7953,73467
2018m10,4809,8460,9091,83357
2018m11,3813,6913,7232,69523
2018m12,3810,7039,7319,66826
2019m1,4304,6938,6760,63838
2019m2,5944,7597,7800,73041
2019m3,7210,9047,9451,86389
2019m4,9877,10294,11725,106042
2019m5,11832,11408,12996,119039
2019m6,10399,11004,12780,115306
2019m7,15290,14065,16796,166000
2019m8,17355,16325,19341,193699
2019m9,21588,17845,22289,238395
2019m10,23969,20132,25156,263017
2019m11,19232,18338,21677,218075
2019m12,19490,19264,22649,216809
2020m1,18077,19101,20085,193574
2020m2,22270,19749,21814,217160
2020m3,30153,22726,27518,310429
2020m4,35104,24148,31681,430590
2020m5,36775,26172,33459,434023
2020m6,47010,29178,38214,454022
2020m7,50908,29109,37946,421365
2020m8,54218,29841,38202,431522
2020m9,59032,30493,39652,461885
2020m10,62947,33619,43981,499219
2020m11,53940,32832,41755,454822
2020m12,55588,35692,43760,478021
2021m1,56464,34782,41667,463299
2021m2,58129,36756,44053,490735
2021m3,59697,44007,52492,562792
2021m4,40367,36468,42580,407467
2021m5,32420,32613,37142,327837
2021m6,33514,34604,39045,338584
2021m7,28629,31666,34482,301967
2021m8,38344,35166,38254,347296
2021m9,35566,33779,37054,339979
2021m10,30252,33993,35074,320466
2021m11,24641,31127,32403,284723
2021m12,20638,28473,29357,249606
2022m1,17721,25618,24751,210966
2022m2,13471,22762,22492,182503
2022m3,11583,23000,23037,178956
2022m4,7136,17315,16593,129493
2022m5,4552,12641,11044,85828
2022m6,3338,10389,7928,65040
2022m7,2370,8819,6539,52234
2022m8,2528,9572,6571,52909
2022m9,1969,8055,5339,44339
2022m10,1520,6627,4225,37156
2022m11,1157,4787,2987,27330
2022m12,1044,4153,2796,23822
