year_month,refshare_asian,refshare_black,refshare_hisp_white,refshare_nonhisp_white
2018m1,.039313208,.060677271,.065835349,.6229192
2018m2,.038435724,.060964085,.066477247,.6227656
2018m3,.037211265,.058156379,.066179246,.6331079
2018m4,.037555952,.059810292,.070018381,.63337171
2018m5,.037658338,.061375074,.070953548,.62724072
2018m6,.037042145,.060882196,.070449047,.63009787
2018m7,.036502466,.062116802,.068670817,.63063312
2018m8,.035388719,.064022809,.068299279,.63442379
2018m9,.035019454,.062534124,.068920992,.63666773
2018m10,.036628,.064436033,.069242075,.63489294
2018m11,.035097245,.063631594,.066567868,.63993335
2018m12,.035940345,.066400021,.069041304,.63038045
2019m1,.041911736,.067561254,.065827914,.62164533
2019m2,.049607333,.063402906,.065097101,.60958427
2019m3,.050700739,.063618526,.066459455,.60748768
2019m4,.056315463,.058693063,.06685216,.60461724
2019m5,.06002222,.057871323,.065927044,.60386956
2019m6,.054267168,.057424359,.066692412,.60172421
2019m7,.05647276,.05194829,.062035087,.61311173
2019m8,.054979518,.051716547,.061271038,.61362594
2019m9,.056331854,.046564847,.058161046,.6220693
2019m10,.055941168,.046986006,.058711503,.61385447
2019m11,.053110786,.050641932,.05986286,.60223246
2019m12,.05365495,.053032786,.062351514,.59686387
2020m1,.055312131,.058445372,.061456222,.5922991
2020m2,.061446007,.05449022,.060187843,.59917444
2020m3,.060745798,.045783471,.055437367,.62538582
2020m4,.053369742,.036712982,.048165642,.65463984
2020m5,.054550335,.038822334,.049631536,.64380968
2020m6,.064756706,.040192962,.052640133,.62541944
2020m7,.073347278,.041939694,.054671876,.60709471
2020m8,.075448543,.041526061,.053161036,.60049623
2020m9,.076670513,.03960418,.051499851,.59989429
2020m10,.074779242,.039938416,.052248176,.59305799
2020m11,.070029847,.042625509,.054210164,.59049159
2020m12,.068555899,.04401844,.05396859,.58953655
2021m1,.07157398,.044089798,.052817248,.58727962
2021m2,.070092537,.044320755,.053119551,.59173322
2021m3,.063267969,.046639424,.05563198,.59645724
2021m4,.058135632,.052520383,.061322745,.58682466
2021m5,.057042819,.057382401,.065351151,.57682747
2021m6,.056819953,.05866795,.066197261,.57403851
2021m7,.054565936,.060354356,.065721564,.57553917
2021m8,.063384168,.058130808,.063235395,.57409424
2021m9,.060526952,.057485797,.063059263,.57858324
2021m10,.054749101,.061519444,.063475803,.57996911
2021m11,.050233215,.063455597,.066056855,.58043718
2021m12,.047929473,.066125393,.068178385,.57968235
2022m1,.048058122,.069474235,.067122996,.57212514
2022m2,.042207539,.071318239,.07047227,.57182109
2022m3,.03724701,.073960215,.074079193,.57546192
2022m4,.031960301,.077549413,.074315757,.57996571
2022m5,.03064804,.085110247,.074357852,.57786906
2022m6,.029417207,.09155643,.069868073,.5731861
2022m7,.025882121,.096309885,.071410634,.5704332
2022m8,.026864752,.10172049,.069829226,.56225759
2022m9,.025108712,.10271745,.068082988,.56541145
2022m10,.023342598,.10177066,.06488321,.57060367
2022m11,.024451584,.10116658,.06312608,.57758147
2022m12,.025,.099449232,.066954024,.57045019
