year_month,denial_dti_asian,denial_dti_black,denial_dti_hisp_white,denial_dti_nonhisp_white
2018m1,35.527748,32.425804,33.450325,28.178831
2018m2,39.704071,34.388889,32.788765,28.31167
2018m3,38.709675,35.859932,34.270691,29.558342
2018m4,37.810486,35.715881,36.792233,29.830488
2018m5,40.724522,36.391251,37.269142,30.355394
2018m6,40.235008,34.45932,36.36948,30.681028
2018m7,38.207947,36.242573,37.046577,30.842976
2018m8,39.18919,36.103596,36.014851,31.222239
2018m9,40.144108,35.608902,35.402237,30.781651
2018m10,43.396225,35.734753,36.647663,31.690481
2018m11,42.471443,37.936935,37.307079,31.937023
2018m12,42.761147,36.353436,36.664623,31.538082
2019m1,39.703156,35.772564,33.75,29.571682
2019m2,39.255013,35.448643,36.162483,29.75494
2019m3,41.320866,36.199207,35.375751,31.103098
2019m4,40.675404,36.511024,37.695724,30.250433
2019m5,42.728565,36.757324,38.101692,30.547302
2019m6,41.863979,36.743549,36.776062,31.213268
2019m7,41.569904,35.762142,36.336811,30.74683
2019m8,40.095692,35.920082,35.982288,30.411425
2019m9,40.259739,38.008514,36.686699,30.794865
2019m10,42.321339,36.469826,37.951519,30.976564
2019m11,43.520641,38.469334,40.154549,31.884638
2019m12,42.707119,36.697247,36.416523,32.046925
2020m1,42.422321,36.169178,36.400463,30.154938
2020m2,39.871155,37.374832,38.624336,30.828262
2020m3,38.763538,38.117928,37.704193,30.641195
2020m4,38.383446,34.426231,34.599751,29.858879
2020m5,43.280422,37.328423,39.945774,31.495403
2020m6,43.389664,39.639351,40.029022,32.380169
2020m7,42.700089,39.345764,41.132305,32.848652
2020m8,43.838028,38.338608,38.299999,31.595112
2020m9,45.365856,40.117573,39.639278,31.78828
2020m10,42.953304,40.788071,40.259487,32.847507
2020m11,42.642059,39.835361,42.338036,32.614677
2020m12,41.320755,40.90081,39.225445,33.051617
2021m1,40.934067,37.863647,38.852222,31.46533
2021m2,38.34499,36.805401,36.529808,30.145666
2021m3,37.5,38.315987,37.723694,30.780056
2021m4,38.696369,38.957001,38.586704,30.948156
2021m5,36.9161,38.113644,36.948574,31.864666
2021m6,37.674759,39.348621,36.611061,30.534447
2021m7,38.015205,37.578072,37.22477,30.091343
2021m8,39.566929,37.655945,38.250389,30.983278
2021m9,38.29258,38.283306,39.435936,31.12252
2021m10,37.965561,39.524067,38.06356,30.347719
2021m11,40.36171,40.064587,39.581757,31.802616
2021m12,41.980919,38.756416,38.92564,32.488571
2022m1,39.715591,37.434719,37.569546,31.31794
2022m2,37.962494,40.396751,37.110909,30.508793
2022m3,37.864769,39.242317,36.903374,32.308998
2022m4,42.063202,42.862595,42.084755,33.310482
2022m5,42.620735,43.046833,42.036861,35.11264
2022m6,43.613911,43.682247,41.715576,35.928619
2022m7,44.579647,44.942333,41.357372,36.077808
2022m8,43.867596,42.799862,42.745377,35.741879
2022m9,46.500206,45.810638,44.953873,37.2953
2022m10,51.45414,46.259068,46.218021,39.113171
2022m11,53.642689,45.346172,46.080246,39.822815
2022m12,50.713909,45.814747,44.198345,38.912136
