year_month,homepurchase,noncashout_refi,cashout_refi
2018m1,233021,96062,94409
2018m2,237422,84173,90476
2018m3,334641,84400,99443
2018m4,354458,73063,93015
2018m5,412877,69977,91515
2018m6,439324,60865,85452
2018m7,407963,58086,87292
2018m8,421971,63522,98136
2018m9,330661,52706,83612
2018m10,350828,60279,95589
2018m11,317809,51083,79033
2018m12,295203,50388,77114
2019m1,222652,51944,70687
2019m2,248262,62697,77678
2019m3,325706,74881,90069
2019m4,366493,99810,99718
2019m5,435112,116418,106518
2019m6,424039,113717,101838
2019m7,433764,177466,119732
2019m8,428219,209161,135935
2019m9,367840,267521,147042
2019m10,376523,300525,164903
2019m11,329827,252510,141979
2019m12,348197,253560,144368
2020m1,257949,231342,126855
2020m2,269465,266285,128425
2020m3,348055,381027,153339
2020m4,323527,525851,175357
2020m5,315846,540875,178183
2020m6,422823,595301,179512
2020m7,489558,574095,167578
2020m8,465523,597581,169641
2020m9,466082,643181,179813
2020m10,472996,692256,211357
2020m11,412895,630636,197996
2020m12,448630,666871,209593
2021m1,312988,651967,200855
2021m2,309835,684745,215610
2021m3,428413,763059,266629
2021m4,445301,531837,232432
2021m5,450991,410444,208266
2021m6,520192,400893,235864
2021m7,482421,339794,225494
2021m8,472580,385157,264281
2021m9,444663,368566,266922
2021m10,425146,334892,269047
2021m11,411010,278905,262285
2021m12,423475,236150,245749
2022m1,298213,193982,217858
2022m2,297742,150493,208544
2022m3,396324,130307,222438
2022m4,389216,82884,171593
2022m5,414831,52910,121381
2022m6,430096,37573,98532
2022m7,366076,29320,82141
2022m8,382403,28965,86779
2022m9,342830,24489,73574
2022m10,298621,21731,62128
2022m11,258301,19116,45471
2022m12,254192,17582,40611
