year_month,yoy_hp,yoy_noncashout_refi,yoy_cashout_refi
2018m1,,,
2018m2,,,
2018m3,,,
2018m4,,,
2018m5,,,
2018m6,,,
2018m7,,,
2018m8,,,
2018m9,,,
2018m10,,,
2018m11,,,
2018m12,,,
2019m1,-4.4498134,-45.92659,-25.126842
2019m2,4.5657101,-25.51412,-14.145187
2019m3,-2.6700256,-11.278436,-9.426506
2019m4,3.3953247,36.608131,7.2063646
2019m5,5.3853812,66.366089,16.394033
2019m6,-3.4792089,86.834801,19.175678
2019m7,6.324348,205.52284,37.162628
2019m8,1.4806705,229.27332,38.516956
2019m9,11.243842,407.5722,75.86232
2019m10,7.3241019,398.5567,72.512527
2019m11,3.7815166,394.31317,79.64521
2019m12,17.951715,403.21506,87.213737
2020m1,15.85299,345.3681,79.460152
2020m2,8.5405741,324.71729,65.329948
2020m3,6.8617096,408.84335,70.246147
2020m4,-11.723553,426.85202,75.852905
2020m5,-27.410414,364.59741,67.279709
2020m6,-.28676608,423.49341,76.272118
2020m7,12.862755,223.49577,39.960915
2020m8,8.7114305,185.70384,24.795675
2020m9,26.707808,140.42262,22.286829
2020m10,25.622074,130.34889,28.1705
2020m11,25.185324,149.74695,39.454426
2020m12,28.843729,163.00323,45.17968
2021m1,21.337164,181.81956,58.33432
2021m2,14.981538,157.14742,67.887871
2021m3,23.08773,100.26376,73.88205
2021m4,37.639519,1.1383452,32.54789
2021m5,42.788258,-24.114815,16.883204
2021m6,23.028313,-32.657093,31.391773
2021m7,-1.4578457,-40.812237,34.560623
2021m8,1.5159293,-35.547314,55.788399
2021m9,-4.5955434,-42.696381,48.444218
2021m10,-10.116364,-51.6231,27.29505
2021m11,-.45653254,-55.774014,32.469849
2021m12,-5.6070704,-64.588356,17.250576
2022m1,-4.7206283,-70.246651,8.4653111
2022m2,-3.9030452,-78.022034,-3.2772136
2022m3,-7.4902024,-82.92308,-16.573967
2022m4,-12.594851,-84.415527,-26.174967
2022m5,-8.0178986,-87.109085,-41.718285
2022m6,-17.319759,-90.62767,-58.225079
2022m7,-24.116901,-91.371246,-63.572868
2022m8,-19.081848,-92.479691,-67.164116
2022m9,-22.901163,-93.355598,-72.436142
2022m10,-29.760365,-93.51104,-76.908127
2022m11,-37.154572,-93.146057,-82.663513
2022m12,-39.974731,-92.554733,-83.474602
