year_month,conf_hp,conf_noncashout_refi,conf_cashout_refi
2018m1,151859,72802,69929
2018m2,155226,64387,67268
2018m3,217089,68160,74639
2018m4,232002,60101,69905
2018m5,272408,58053,67963
2018m6,291434,51368,62596
2018m7,271417,49114,63377
2018m8,281618,53392,70673
2018m9,219723,44405,59938
2018m10,232771,50665,67490
2018m11,211147,42948,55543
2018m12,193765,41538,54251
2019m1,151292,42651,50029
2019m2,163745,48041,55130
2019m3,213263,56264,64364
2019m4,240641,74106,72655
2019m5,289575,83886,77432
2019m6,283306,80933,73891
2019m7,289671,126894,86950
2019m8,285732,146844,99941
2019m9,244375,195297,110058
2019m10,247846,213733,128461
2019m11,215161,170347,111606
2019m12,224677,165622,112603
2020m1,167209,147907,100070
2020m2,177190,182309,103621
2020m3,227272,283688,127932
2020m4,210245,416991,151484
2020m5,206337,427690,157521
2020m6,280456,474663,159700
2020m7,329434,450720,149988
2020m8,316490,470655,152652
2020m9,318524,517045,162900
2020m10,325938,558007,192953
2020m11,285104,489880,179422
2020m12,304890,510681,187090
2021m1,214415,503846,179465
2021m2,213617,529857,193187
2021m3,298391,590577,238593
2021m4,309296,411834,205419
2021m5,314110,314299,182850
2021m6,364093,309237,204725
2021m7,335291,258305,193341
2021m8,327686,305089,225059
2021m9,307032,293888,227699
2021m10,292718,264902,228084
2021m11,280172,222361,219095
2021m12,284338,188681,201944
2022m1,210647,157932,180812
2022m2,212014,126119,171699
2022m3,282155,112879,181098
2022m4,276491,72959,134394
2022m5,295048,47045,90574
2022m6,304742,33628,71682
2022m7,256520,26391,57727
2022m8,266685,25904,59008
2022m9,237989,21773,48441
2022m10,205037,19262,40679
2022m11,177650,17058,30280
2022m12,172764,15734,27312
