year_month,jumbo_hp,jumbo_noncashout_refi,jumbo_cashout_refi
2018m1,11452,4525,2818
2018m2,11197,3903,2692
2018m3,17027,4437,2994
2018m4,18883,3834,2705
2018m5,22388,4043,2701
2018m6,25452,3698,2411
2018m7,22544,3544,2470
2018m8,22412,3783,2539
2018m9,16419,3212,2342
2018m10,18647,3988,2739
2018m11,16870,3448,2421
2018m12,16656,3826,2625
2019m1,10456,3387,2034
2019m2,10600,4911,2295
2019m3,15561,5768,2873
2019m4,18469,6786,3225
2019m5,22265,9475,3643
2019m6,22499,7819,3605
2019m7,21341,10309,4356
2019m8,20036,11768,4815
2019m9,16215,13090,5174
2019m10,17417,16091,6262
2019m11,15474,13853,5558
2019m12,17744,14451,6398
2020m1,11448,10168,4533
2020m2,11151,9601,4037
2020m3,14652,13111,4521
2020m4,12387,16828,5306
2020m5,10819,17532,5651
2020m6,15201,15275,4673
2020m7,19232,11878,3394
2020m8,19531,11028,2990
2020m9,19748,11848,2891
2020m10,21121,13379,2826
2020m11,18277,13747,2717
2020m12,21930,18088,3846
2021m1,13050,14896,2786
2021m2,13348,17519,3105
2021m3,21002,21703,4161
2021m4,25288,18699,4525
2021m5,26273,14440,4842
2021m6,31734,14077,5534
2021m7,28789,13316,5639
2021m8,27557,15245,6964
2021m9,25464,15865,7634
2021m10,25848,16829,8657
2021m11,29046,15109,10050
2021m12,33715,14650,11429
2022m1,13778,7636,5486
2022m2,14488,6626,5361
2022m3,23050,6023,6052
2022m4,25326,4164,4583
2022m5,27727,3168,3462
2022m6,27832,2311,2545
2022m7,21211,1683,1868
2022m8,20868,1633,1638
2022m9,17912,1411,1281
2022m10,16942,1222,1164
2022m11,14234,1100,931
2022m12,13730,1044,874
