year_month,fha_hp,fha_noncashout_refi,fha_cashout_refi
2018m1,41362,9586,10314
2018m2,42323,8231,10042
2018m3,61478,6209,10708
2018m4,63469,4531,9900
2018m5,71556,4270,10476
2018m6,73459,3563,10619
2018m7,68067,3499,11181
2018m8,69914,4104,12784
2018m9,56577,3323,10915
2018m10,59753,3823,13093
2018m11,53938,3166,10829
2018m12,51542,3373,10259
2019m1,39086,3758,9359
2019m2,43619,5306,10270
2019m3,60150,6355,11818
2019m4,66182,8649,12728
2019m5,74300,9976,13475
2019m6,69680,10860,13182
2019m7,72372,16558,14772
2019m8,72796,19919,15947
2019m9,64040,22265,15822
2019m10,67371,28236,15600
2019m11,60086,27300,11704
2019m12,63627,29288,11326
2020m1,47148,30437,9728
2020m2,48128,30325,8942
2020m3,63401,30912,8592
2020m4,58632,29856,6914
2020m5,56638,32019,5450
2020m6,73675,35605,5498
2020m7,82386,36681,5168
2020m8,76712,35131,4937
2020m9,75553,33073,4771
2020m10,76104,35862,5734
2020m11,66079,38143,6097
2020m12,73772,42220,7463
2021m1,50151,42414,7631
2021m2,48144,45665,7521
2021m3,64662,56196,9568
2021m4,65597,43597,9451
2021m5,65406,35065,8751
2021m6,72853,32803,10992
2021m7,69307,28518,11130
2021m8,69585,26648,13325
2021m9,66377,24293,12425
2021m10,63210,22213,12860
2021m11,60089,17825,13383
2021m12,61476,14049,12636
2022m1,42629,12089,12286
2022m2,40535,8696,12814
2022m3,52439,6095,15430
2022m4,50171,3420,15622
2022m5,52425,1882,14384
2022m6,55723,1190,13531
2022m7,51119,944,12808
2022m8,55416,1065,15129
2022m9,50682,978,13847
2022m10,45286,859,11905
2022m11,39655,672,8519
2022m12,40499,611,7535
