year_month,va_hp,va_noncashout_refi,va_cashout_refi
2018m1,21549,8855,11347
2018m2,22306,7392,10471
2018m3,30296,5390,11101
2018m4,31025,4488,10501
2018m5,36451,3553,10373
2018m6,38967,2170,9825
2018m7,36220,1881,10261
2018m8,37592,2194,12139
2018m9,29645,1717,10416
2018m10,30853,1767,12263
2018m11,28276,1503,10237
2018m12,26993,1630,9976
2019m1,20966,2137,9261
2019m2,23198,4421,9978
2019m3,29812,6457,11012
2019m4,32921,10229,11107
2019m5,39439,13030,11957
2019m6,39425,14047,11159
2019m7,40513,23595,13652
2019m8,39368,30397,15220
2019m9,33755,36547,15980
2019m10,34342,42035,14565
2019m11,30298,40549,13104
2019m12,33028,43605,14028
2020m1,24107,42221,12516
2020m2,25549,43472,11802
2020m3,33382,52614,12267
2020m4,33155,61219,11617
2020m5,33096,62826,9514
2020m6,41581,68862,9613
2020m7,45544,74002,8998
2020m8,40231,79965,9038
2020m9,39043,80325,9224
2020m10,38740,84139,9805
2020m11,34008,88120,9736
2020m12,37749,95013,11163
2021m1,26411,89869,10957
2021m2,25867,90513,11769
2021m3,34819,93194,14273
2021m4,35508,56766,13005
2021m5,36068,46034,11809
2021m6,41772,44238,14595
2021m7,39847,39176,15363
2021m8,39092,37660,18915
2021m9,37300,33950,19146
2021m10,35611,30444,19427
2021m11,34141,23119,19735
2021m12,36111,18414,19710
2022m1,25822,16030,19262
2022m2,25757,8859,18656
2022m3,32664,5162,19843
2022m4,31860,2228,16983
2022m5,34576,740,12950
2022m6,37027,413,10769
2022m7,32725,287,9733
2022m8,34464,354,10994
2022m9,31534,319,9999
2022m10,27440,379,8374
2022m11,23679,279,5737
2022m12,24187,187,4886
