year_month,fsa_hp,fsa_noncashout_refi,fsa_cashout_refi
2018m1,6795,292,1
2018m2,6365,259,3
2018m3,8751,197,1
2018m4,9076,108,4
2018m5,10073,57,1
2018m6,10008,64,1
2018m7,9712,46,3
2018m8,10431,49,1
2018m9,8292,45,1
2018m10,8803,33,3
2018m11,7576,18,3
2018m12,6246,21,2
2019m1,827,1,2
2019m2,7076,15,1
2019m3,6878,33,1
2019m4,8242,39,2
2019m5,9474,46,3
2019m6,9096,47,
2019m7,9823,110,1
2019m8,10252,223,7
2019m9,9417,319,8
2019m10,9508,415,14
2019m11,8760,453,5
2019m12,9094,590,13
2020m1,8021,601,6
2020m2,7414,566,16
2020m3,9312,683,21
2020m4,9077,940,32
2020m5,8931,793,41
2020m6,11884,879,26
2020m7,12931,797,28
2020m8,12518,783,22
2020m9,13162,860,19
2020m10,11045,846,24
2020m11,9381,720,20
2020m12,10250,841,20
2021m1,8928,927,10
2021m2,8822,1168,20
2021m3,9493,1357,22
2021m4,9548,926,19
2021m5,9085,585,6
2021m6,9669,516,7
2021m7,9128,465,9
2021m8,8578,499,3
2021m9,8410,554,11
2021m10,7675,482,2
2021m11,7481,484,10
2021m12,7731,344,5
2022m1,5277,281,2
2022m2,4889,185,3
2022m3,5943,140,3
2022m4,5292,103,1
2022m5,4981,71,1
2022m6,4711,23,2
2022m7,4451,10,2
2022m8,4929,3,3
2022m9,4667,5,1
2022m10,3895,3,1
2022m11,3064,2,1
2022m12,2997,,
