year_month,hp_asian,hp_black,hp_hisp_white,hp_nonhisp_white
2018m1,12207,14311,18835,122119
2018m2,12001,14380,18643,126216
2018m3,16876,19060,26082,181210
2018m4,18067,19817,27519,193293
2018m5,21361,22763,30736,226549
2018m6,23030,24238,32093,243088
2018m7,21317,23541,30261,223415
2018m8,22309,24390,31318,229534
2018m9,16863,20106,25646,177548
2018m10,17762,21068,28080,185561
2018m11,16278,19412,25404,167952
2018m12,15745,19505,24580,151414
2019m1,11338,14581,18608,113173
2019m2,11732,15629,20202,129901
2019m3,15527,20082,26837,170702
2019m4,17905,21637,30793,192346
2019m5,21782,24934,34019,232412
2019m6,21179,24343,32255,228829
2019m7,21275,25557,33642,232023
2019m8,21154,25471,33024,226830
2019m9,17851,22027,29390,191882
2019m10,18588,23027,30542,193153
2019m11,16793,20685,26693,168053
2019m12,17908,22351,28694,174609
2020m1,13001,16813,21492,128211
2020m2,13541,16966,21988,136389
2020m3,16960,21031,27579,182180
2020m4,13947,19922,25017,177129
2020m5,12582,20748,24209,175033
2020m6,17524,26278,32647,231671
2020m7,22025,29810,37913,261763
2020m8,22530,28866,35702,242699
2020m9,23005,29804,36718,237130
2020m10,24596,30537,37845,236329
2020m11,22237,27518,34180,202522
2020m12,24209,32017,38249,214342
2021m1,17243,22262,26100,148249
2021m2,17499,21179,25145,147272
2021m3,24453,27459,33183,204273
2021m4,25965,27165,34382,215972
2021m5,27115,27806,34254,220741
2021m6,31890,32492,38703,256772
2021m7,30151,32021,37040,233908
2021m8,30602,33004,37353,224229
2021m9,27712,31786,35748,207871
2021m10,26368,30174,34112,196657
2021m11,26143,29137,32586,187799
2021m12,26264,30935,34212,189640
2022m1,18010,21233,24135,131946
2022m2,18484,20504,23397,132069
2022m3,26274,26031,30706,179442
2022m4,25703,24513,29141,182708
2022m5,28095,26006,30747,197521
2022m6,28710,28147,31986,207800
2022m7,23281,25679,27833,176605
2022m8,24753,27747,29622,181070
2022m9,22336,24885,26294,161301
2022m10,19069,21402,23710,138985
2022m11,17154,19375,20902,118430
2022m12,17396,20246,21750,113404
