year_month,hp_asian,hp_black,hp_hisp_white
2018m1,12207,14311,18835
2018m2,12001,14380,18643
2018m3,16876,19060,26082
2018m4,18067,19817,27519
2018m5,21361,22763,30736
2018m6,23030,24238,32093
2018m7,21317,23541,30261
2018m8,22309,24390,31318
2018m9,16863,20106,25646
2018m10,17762,21068,28080
2018m11,16278,19412,25404
2018m12,15745,19505,24580
2019m1,11338,14581,18608
2019m2,11732,15629,20202
2019m3,15527,20082,26837
2019m4,17905,21637,30793
2019m5,21782,24934,34019
2019m6,21179,24343,32255
2019m7,21275,25557,33642
2019m8,21154,25471,33024
2019m9,17851,22027,29390
2019m10,18588,23027,30542
2019m11,16793,20685,26693
2019m12,17908,22351,28694
2020m1,13001,16813,21492
2020m2,13541,16966,21988
2020m3,16960,21031,27579
2020m4,13947,19922,25017
2020m5,12582,20748,24209
2020m6,17524,26278,32647
2020m7,22025,29810,37913
2020m8,22530,28866,35702
2020m9,23005,29804,36718
2020m10,24596,30537,37845
2020m11,22237,27518,34180
2020m12,24209,32017,38249
2021m1,17243,22262,26100
2021m2,17499,21179,25145
2021m3,24453,27459,33183
2021m4,25965,27165,34382
2021m5,27115,27806,34254
2021m6,31890,32492,38703
2021m7,30151,32021,37040
2021m8,30602,33004,37353
2021m9,27712,31786,35748
2021m10,26368,30174,34112
2021m11,26143,29137,32586
2021m12,26264,30935,34212
2022m1,18010,21233,24135
2022m2,18484,20504,23397
2022m3,26274,26031,30706
2022m4,25703,24513,29141
2022m5,28095,26006,30747
2022m6,28710,28147,31986
2022m7,23281,25679,27833
2022m8,24753,27747,29622
2022m9,22336,24885,26294
2022m10,19069,21402,23710
2022m11,17154,19375,20902
2022m12,17396,20246,21750
